shortnam,africa,lat_abst,malfal94,avexpr,logpgp95,logem4,asia,yellow,baseco,leb95,imr95,meantemp,lt100km,latabs
PHL,0,0.14444445073604584,0.6169999837875366,5.454545497894287,8.09864330291748,NA,1,0,NA,NA,NA,NA,NA,NA
PNG,0,0.06666667014360428,0.6098799705505371,7.2727274894714355,NA,5.135798454284668,1,0,NA,NA,NA,NA,NA,NA
POL,0,0.5777778029441833,0,7.681818008422852,8.655214309692383,NA,0,0,NA,NA,NA,NA,NA,NA
PRK,0,0.4444444477558136,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
PRT,0,0.43666666746139526,0,9.181818008422852,9.489485740661621,NA,0,0,NA,NA,NA,NA,NA,NA
PRY,0,0.25555557012557983,0,6.954545497894287,8.20794677734375,4.357990264892578,0,0,1,69.61000061035156,39.20000076293945,23,0,0.25555598735809326
QAT,0,0.28111109137535095,0,7.7272725105285645,9.685331344604492,NA,1,0,NA,NA,NA,NA,NA,NA
ROM,0,0.5111111402511597,0,7.2727274894714355,8.3870849609375,NA,0,0,NA,NA,NA,NA,NA,NA
RUS,0,0.6666666865348816,0,8.454545021057129,8.405143737792969,NA,0,0,NA,NA,NA,NA,NA,NA
RWA,1,0.02222222276031971,0.949999988079071,NA,6.476972579956055,5.63478946685791,0,1,NA,NA,NA,NA,NA,NA
SAU,0,0.2777777910232544,0.1049400046467781,7.590909004211426,9.239899635314941,NA,1,0,NA,NA,NA,NA,NA,NA
SDN,1,0.1666666716337204,0.9309999942779541,4,7.3065314292907715,4.479607105255127,0,1,1,54.970001220703125,70.9000015258789,28.5,0.023229999467730522,0.16666699945926666
SEN,1,0.15555556118488312,0.949999988079071,6,7.402451515197754,5.103882789611816,0,1,1,52.31999969482422,63.20000076293945,27.200000762939453,0.24476200342178345,0.15555599331855774
SGP,0,0.01355555560439825,0,9.318181991577148,10.14643383026123,2.8735647201538086,1,1,1,77.0999984741211,4.900000095367432,27.100000381469727,1,0.013555999845266342
SLE,1,0.09222222119569778,0.949999988079071,5.818181991577148,6.253829002380371,6.18001651763916,0,1,1,37.2400016784668,170,26.200000762939453,0.466185986995697,0.09222199767827988
SLV,0,0.15000000596046448,0,5,7.948031902313232,4.357990264892578,0,1,1,69.12999725341797,32,23.57101058959961,1,0.15000000596046448
SOM,1,0.1111111119389534,0.949999988079071,3,NA,NA,0,1,NA,NA,NA,NA,NA,NA
STP,0,0.011111111380159855,NA,8.409090995788574,NA,NA,0,1,NA,NA,NA,NA,NA,NA
SUR,0,0.04444444552063942,0.24699999392032623,4.681818008422852,8.010000228881836,3.4713451862335205,0,1,NA,NA,NA,NA,NA,NA
SVK,0,0.5377777814865112,0,NA,8.852235794067383,NA,0,0,NA,NA,NA,NA,NA,NA
SVN,0,0.5111111402511597,0,NA,9.30018138885498,NA,0,0,NA,NA,NA,NA,NA,NA
SWE,0,0.6888889074325562,0,9.5,9.866304397583008,NA,0,0,NA,NA,NA,NA,NA,NA
SWZ,1,0.29222220182418823,0.8549999594688416,NA,8.107720375061035,NA,0,1,NA,NA,NA,NA,NA,NA
SYR,0,0.3888888955116272,0.09799999743700027,5.818181991577148,8.029433250427246,NA,1,0,NA,NA,NA,NA,NA,NA
TCD,1,0.1666666716337204,0.940500020980835,NA,6.835184574127197,5.63478946685791,0,1,NA,NA,NA,NA,NA,NA
TGO,1,0.08888889104127884,0.949999988079071,6.909090995788574,7.2225661277771,6.504288196563721,0,1,1,48.84000015258789,83.9000015258789,26.799999237060547,0.1676899939775467,0.08888900279998779
THA,0,0.1666666716337204,0.3561599850654602,7.636363506317139,8.774930953979492,4.9416422843933105,1,0,NA,NA,NA,NA,NA,NA
TJK,0,0.4333333373069763,0,NA,6.887552738189697,NA,1,0,NA,NA,NA,NA,NA,NA
TKM,0,0.4444444477558136,0,NA,7.64012336730957,NA,1,0,NA,NA,NA,NA,NA,NA
TTO,0,0.12222222238779068,0,7.454545497894287,8.768730163574219,4.442651271820068,0,1,1,73.80000305175781,14.5,25.899999618530273,1,0.12222199887037277
